I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound
20,4,3,77479,332,95407,77479,93830,332,713,95407,127067,4792,30834,127067,132332,0.0414348,625
20,4,3,77479,332,95739,77479,93830,332,713,95739,127780,5333,30375,127780,133045,0.0412036,542
20,4,3,77479,332,96071,77479,93830,332,713,96071,128493,5000,90917,128493,133758,0.040975,29708
20,4,3,77479,332,96403,77479,93830,332,713,96403,129206,4666,30334,129206,134471,0.0407489,625
20,4,3,77479,332,96735,77479,93830,332,713,96735,129919,7083,32208,129919,135184,0.0405253,667
20,4,3,77479,332,97067,77479,93830,332,713,97067,130632,4458,29750,130632,135897,0.0403041,500
20,4,3,77479,332,97399,77479,93830,332,713,97399,131345,4875,29834,131345,136610,0.0400853,625
20,4,3,77479,332,97731,77479,93830,332,713,97731,132058,4458,27250,132058,137323,0.0398688,458
20,4,3,77479,332,98063,77479,93830,332,713,98063,132771,4542,29125,132771,138036,0.0396547,625
20,4,3,77479,332,98395,77479,93830,332,713,98395,133484,133666,146542,133484,138749,0.0394429,833
20,4,3,77479,332,98727,77479,93830,332,713,98727,134197,4917,30000,134197,139462,0.0392334,458
20,4,3,77479,332,99059,77479,93830,332,713,99059,134910,4583,29833,134910,140175,0.039026,584
20,4,3,77479,332,99391,77479,93830,332,713,99391,135623,10917,58709,135623,140888,0.0388208,1167
20,4,3,77479,332,99723,77479,93830,332,713,99723,136336,5000,30958,136336,141601,0.0386178,583
20,4,3,77479,332,100055,77479,93830,332,713,100055,137049,5083,31167,137049,142314,0.0384169,541
20,4,3,77479,332,100387,77479,93830,332,713,100387,137762,4667,33667,137762,143027,0.0382181,542
20,4,3,77479,332,100719,77479,93830,332,713,100719,138475,4958,31083,138475,143740,0.0380213,583
20,4,3,77479,332,101051,77479,93830,332,713,101051,139188,4792,28334,139188,144453,0.0378265,583
20,4,3,77479,332,101383,77479,93830,332,713,101383,139901,5417,29500,139901,145166,0.0376338,667
20,4,3,77479,332,101715,77479,93830,332,713,101715,140614,4708,31208,140614,145879,0.0374429,500
20,4,3,77479,332,102047,77479,93830,332,713,102047,141327,4542,27958,141327,146592,0.037254,458
20,4,3,77479,332,102379,77479,93830,332,713,102379,142040,4291,27667,142040,147305,0.037067,459
