I,K,best_min,best_max,best_ave,worst_min,worst_max,worst_ave,gap_ave
20,4,0,0,0,7.1385e+06,1.67903e+07,1.07921e+07,0
40,4,0,0,0,3.05796e+06,8.58625e+06,5.75666e+06,0
60,4,0,0,0,5.62488e+06,1.94291e+07,9.51771e+06,0
80,4,0,0,0,5.13517e+06,8.83921e+06,6.97098e+06,0
100,4,0,0,0,5.34604e+06,1.34096e+07,7.85889e+06,0
20,6,0,0,0,6.29627e+07,9.1847e+07,7.6919e+07,0
40,6,0,0,0,1.42692e+07,8.78128e+07,6.38846e+07,0
60,6,0,0,0,1.82598e+07,1.71315e+08,8.35089e+07,0
80,6,0,0,0,3.18235e+07,1.07966e+08,6.66323e+07,0
100,6,0,0,0,2.69887e+07,9.6284e+07,5.97654e+07,0
20,8,0,0,0,1e+09,4.39008e+10,1.90599e+10,0
40,8,0,0,0,1e+09,1.57516e+10,8.25221e+09,0
60,8,0,0,0,1e+09,4.60673e+10,1.30101e+10,0
80,8,0,0,0,4.63199e+08,7.12806e+10,2.48389e+10,0
100,8,0,0,0,1e+09,9.50649e+10,4.46559e+10,0
