I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound
60,16,2,0,0,0,898343,929552,3289,27228,1.01675e+06,1.90543e+06,34791,3.67124e+09,1.90543e+06,1.90976e+06,0.00227456,17625
60,16,3,0,0,0,762739,771216,4054,31951,965439,2.36875e+06,33750,3.53915e+09,2.36875e+06,2.36877e+06,8.02112e-06,18334
60,16,4,0,0,0,978620,1.03184e+06,4565,32943,1.15209e+06,2.2786e+06,33750,3.86684e+09,2.2786e+06,2.28367e+06,0.00222637,20375
60,16,5,0,0,0,913475,951627,5685,35768,1.18636e+06,2.66456e+06,37375,4.05537e+09,2.66456e+06,2.66849e+06,0.00147717,21375
80,4,1,0,0,0,355656,428236,1879,4797,434574,621259,17375,31834,621259,629710,0.013603,750
80,4,2,0,0,0,418869,422421,2074,5330,535013,720901,15042,26250,720901,720901,0,792
80,4,3,0,0,0,376253,376743,1711,4110,485757,639783,14125,23750,639783,639783,0,667
80,4,4,0,0,0,434326,475312,1693,4179,483423,594244,14000,26375,594244,596503,0.00380147,625
80,4,5,0,0,0,407387,456022,627,1279,431213,502762,14167,23375,500338,504624,0.00852491,666
80,6,1,0,0,0,499699,526588,4187,13549,633683,957715,20000,151416,957715,960156,0.00254877,1125
80,6,2,0,0,0,496843,580900,2694,9017,499537,587366,19125,124292,570176,589917,0.0336094,1042
80,6,3,0,0,0,438431,539079,2601,7516,604895,1.01466e+06,19000,130333,1.01063e+06,1.0201e+06,0.00933412,1041
80,6,4,0,0,0,586669,619492,2688,9660,707629,1.0523e+06,19292,117542,1.0523e+06,1.05419e+06,0.00179701,1042
80,6,5,0,0,0,551890,591622,4493,14758,709145,1.10543e+06,21166,139959,1.10543e+06,1.10815e+06,0.00246602,1416
80,8,1,0,0,0,510705,659956,1220,4817,522905,703606,23291,758583,694145,708126,0.0198705,2042
80,8,2,0,0,0,570790,615023,1842,8161,659206,1.00386e+06,24416,740208,1.00386e+06,1.00675e+06,0.00288288,1750
80,8,3,0,0,0,604274,674580,3238,13006,665796,914991,24417,763791,909945,921694,0.0128406,1500
80,8,4,0,0,0,485161,562536,2128,10295,497929,615533,24459,806958,589749,624306,0.0561416,1334
80,8,5,0,0,0,594721,662625,3999,18608,694696,1.10931e+06,23959,818500,1.10931e+06,1.12782e+06,0.0166924,1292
80,10,1,0,0,0,748298,865000,2052,10090,863210,1.42374e+06,28334,5.40592e+06,1.41898e+06,1.43004e+06,0.00777038,2917
80,10,2,0,0,0,720308,782797,4717,24941,734459,850246,28875,5.037e+06,849073,857620,0.0100524,2584
80,10,3,0,0,0,801968,807824,4407,23586,1.01791e+06,1.96349e+06,28875,5.15617e+06,1.96349e+06,1.96354e+06,2.44463e-05,2625
80,10,4,0,0,0,781274,841955,4224,21746,950234,1.70445e+06,28541,4.88267e+06,1.70237e+06,1.7118e+06,0.00552847,3125
80,10,5,0,0,0,823822,849453,3969,24630,887326,1.24133e+06,27959,4.80567e+06,1.24133e+06,1.24353e+06,0.0017739,2709
80,12,1,0,0,0,898269,987991,4941,27192,992148,1.48953e+06,33750,4.6402e+07,1.48628e+06,1.50464e+06,0.0123267,5083
80,12,2,0,0,0,723093,798217,4879,30842,976801,2.39288e+06,36542,4.59396e+07,2.39288e+06,2.402e+06,0.00381172,5000
80,12,3,0,0,0,809157,901540,3200,22238,959557,1.93089e+06,33541,3.98277e+07,1.93089e+06,1.94673e+06,0.00820297,4959
80,12,4,0,0,0,986835,1.00676e+06,6149,34131,1.36807e+06,3.122e+06,32709,4.598e+07,3.122e+06,3.12288e+06,0.000282191,4833
80,12,5,0,0,0,781339,913029,2673,16201,971122,2.04776e+06,32250,4.37816e+07,2.04776e+06,2.0633e+06,0.00758681,4750
80,14,1,0,0,0,977896,1.1307e+06,4878,34286,1.05107e+06,1.62439e+06,36917,4.48176e+07,1.61788e+06,1.64499e+06,0.0166875,10125
80,14,2,0,0,0,939302,1.05008e+06,5219,33589,1.06456e+06,1.84011e+06,37875,4.48755e+08,1.84011e+06,1.85622e+06,0.00875327,10167
80,14,3,0,0,0,944768,953980,6464,34987,990016,1.19885e+06,45667,4.13704e+08,1.19885e+06,1.19889e+06,3.33653e-05,9291
80,14,4,0,0,0,916116,1.05747e+06,5235,29842,968466,1.34106e+06,52000,4.21317e+08,1.33360e+06,1.35589e+06,0.0166144,9916
80,14,5,0,0,0,1.31977e+06,1.34743e+06,6849,43037,1.36086e+06,1.60339e+06,45042,4.04011e+08,1.60339e+06,1.60565e+06,0.00140889,9667
80,16,1,0,0,0,1.23596e+06,1.27693e+06,5991,45954,1.43965e+06,2.83545e+06,44583,4.04995e+09,2.83545e+06,2.83937e+06,0.00138285,22000
80,16,2,0,0,0,1.28714e+06,1.38806e+06,6474,43468,1.57847e+06,3.33387e+06,43250,4.07724e+09,3.33191e+06,3.34412e+06,0.00366271,19541
