I,K, step, gamma, instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound, ue_assign, ue_misplace,POA_assign,POA_misplace
20,4,10,15,8,190619,578,199289,190619,194985,578,1443,199289,216133,6584,27666,216133,216630,0.00229951,750,194488,1443,1.020297032,2.496539792
20,4,10,15,9,189162,578,197832,189162,194831,578,1443,197832,216299,6125,25166,216299,216476,0.000818312,667,194654,1443,1.029033315,2.496539792
20,4,10,15,10,195731,578,204401,195731,201020,578,1443,204401,222426,6542,30833,222426,222665,0.00107451,708,200781,1443,1.025800716,2.496539792
20,4,10,20,1,203106,578,214666,203106,208391,578,1443,214666,236681,6500,31166,236681,237251,0.0024083,625,207821,1443,1.023214479,2.496539792
20,4,10,20,2,194943,578,206503,194943,199024,578,1443,206503,227640,6709,30791,227640,227884,0.00107187,666,198780,1443,1.019682676,2.496539792
20,4,10,20,3,204959,578,216519,204959,209798,578,1443,216519,238254,6750,29542,238254,238658,0.00169567,709,209394,1443,1.021638474,2.496539792
20,4,10,20,4,201030,578,212590,201030,206527,578,1443,212590,234948,6542,32625,234948,235387,0.0018685,792,206088,1443,1.025160424,2.496539792
20,4,10,20,5,193532,578,205092,193532,198801,578,1443,205092,227497,6708,33375,227497,227661,0.000720889,875,198637,1443,1.026378067,2.496539792
20,4,10,20,6,199908,578,211468,199908,205184,578,1443,211468,233514,6458,31333,233514,234044,0.00226967,583,204654,1443,1.023740921,2.496539792
20,4,10,20,7,195669,578,207229,195669,200762,578,1443,207229,229213,6792,34916,229213,229622,0.00178437,833,200353,1443,1.023938386,2.496539792
20,4,10,20,8,189713,578,201273,189713,194889,578,1443,201273,223537,6625,27167,223537,223749,0.000948389,917,194677,1443,1.02616584,2.496539792
20,4,10,20,9,201426,578,212986,201426,206227,578,1443,212986,234751,5334,25750,234751,235087,0.0014313,750,205891,1443,1.02216695,2.496539792
20,4,10,20,10,189332,578,200892,189332,194463,578,1443,200892,223248,6792,29459,223248,223323,0.000335949,1000,194388,1443,1.026704413,2.496539792
20,4,10,25,1,190460,578,204910,190460,194853,578,1443,204910,230764,6958,27333,230764,230928,0.000710683,542,194689,1443,1.022204137,2.496539792
20,4,10,25,2,200573,578,215023,200573,206195,578,1443,215023,241901,6500,31625,241901,242270,0.00152542,666,205826,1443,1.026189966,2.496539792
20,4,10,25,3,201039,578,215489,201039,206420,578,1443,215489,242065,7042,32500,242065,242495,0.00177638,791,205990,1443,1.024627062,2.496539792
