I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
20,4,1,0,0,0,0,0,0,754,0,0,0,0,4.31631e+07
20,4,2,0,0,0,0,0,0,937,0,0,0,0,1.41242e+07
20,4,3,0,0,0,0,0,0,713,0,0,0,0,1.53352e+07
20,4,4,0,0,0,0,0,0,1429,0,0,0,0,1.75542e+07
20,4,5,0,0,0,0,0,0,1480,0,0,0,0,1.6375e+07
40,4,1,0,0,0,0,0,0,3214,0,0,0,0,3.2646e+07
40,4,2,0,0,0,0,0,0,411,0,0,0,0,1.00729e+07
40,4,3,0,0,0,0,0,0,1553,0,0,0,0,2.71406e+07
40,4,4,0,0,0,0,0,0,838,0,0,0,0,1.05423e+07
40,4,5,0,0,0,0,0,0,3062,0,0,0,0,2.4183e+07
60,4,1,0,0,0,0,0,0,1230,0,0,0,0,4.1172e+07
60,4,2,0,0,0,0,0,0,4368,0,0,0,0,4.5884e+07
60,4,3,0,0,0,0,0,0,3917,0,0,0,0,4.2828e+07
60,4,4,0,0,0,0,0,0,4771,0,0,0,0,3.64503e+07
60,4,5,0,0,0,0,0,0,6155,0,0,0,0,3.64219e+07
80,4,1,0,0,0,0,0,0,4797,0,0,0,0,6.2755e+07
80,4,2,0,0,0,0,0,0,5330,0,0,0,0,5.12947e+07
80,4,3,0,0,0,0,0,0,4110,0,0,0,0,5.68552e+07
80,4,4,0,0,0,0,0,0,4179,0,0,0,0,5.18672e+07
80,4,5,0,0,0,0,0,0,1279,0,0,0,0,6.08129e+07
100,4,1,0,0,0,0,0,0,7639,0,0,0,0,5.22574e+07
100,4,2,0,0,0,0,0,0,4163,0,0,0,0,4.96658e+07
100,4,3,0,0,0,0,0,0,12548,0,0,0,0,5.4109e+07
100,4,4,0,0,0,0,0,0,7971,0,0,0,0,5.50651e+07
100,4,5,0,0,0,0,0,0,6755,0,0,0,0,5.12929e+07
20,6,1,0,0,0,0,0,0,3224,0,0,0,0,3.32654e+08
20,6,2,0,0,0,0,0,0,3255,0,0,0,0,8.77882e+08
20,6,3,0,0,0,0,0,0,1275,0,0,0,0,5.55877e+08
20,6,4,0,0,0,0,0,0,2572,0,0,0,0,5.58001e+08
20,6,5,0,0,0,0,0,0,1322,0,0,0,0,4.06867e+08
40,6,1,0,0,0,0,0,0,4145,0,0,0,0,1.05302e+09
40,6,2,0,0,0,0,0,0,5461,0,0,0,0,8.42567e+08
40,6,3,0,0,0,0,0,0,2705,0,0,0,0,1.63526e+08
40,6,4,0,0,0,0,0,0,2270,0,0,0,0,7.18663e+08
40,6,5,0,0,0,0,0,0,4743,0,0,0,0,1.08571e+09
60,6,1,0,0,0,0,0,0,6715,0,0,0,0,1.96418e+09
60,6,2,0,0,0,0,0,0,9424,0,0,0,0,2.00314e+09
60,6,3,0,0,0,0,0,0,1747,0,0,0,0,8.12525e+07
60,6,4,0,0,0,0,0,0,4857,0,0,0,0,1.31437e+09
60,6,5,0,0,0,0,0,0,5580,0,0,0,0,1.5627e+09
80,6,1,0,0,0,0,0,0,13549,0,0,0,0,1.05097e+09
80,6,2,0,0,0,0,0,0,9017,0,0,0,0,1.86219e+09
80,6,3,0,0,0,0,0,0,7516,0,0,0,0,2.80534e+08
80,6,4,0,0,0,0,0,0,9660,0,0,0,0,2.658e+09
80,6,5,0,0,0,0,0,0,14758,0,0,0,0,1.24669e+09
100,6,1,0,0,0,0,0,0,7049,0,0,0,0,4.33274e+08
100,6,2,0,0,0,0,0,0,4553,0,0,0,0,1.98814e+08
100,6,3,0,0,0,0,0,0,11891,0,0,0,0,2.27795e+09
100,6,4,0,0,0,0,0,0,9079,0,0,0,0,1.71903e+09
100,6,5,0,0,0,0,0,0,9699,0,0,0,0,2.52377e+09
20,8,1,0,0,0,0,0,0,3939,0,0,0,0,1.35092e+11
20,8,2,0,0,0,0,0,0,3923,0,0,0,0,1.16558e+10
20,8,3,0,0,0,0,0,0,4850,0,0,0,0,4.21002e+10
20,8,4,0,0,0,0,0,0,2047,0,0,0,0,6.16327e+10
20,8,5,0,0,0,0,0,0,3611,0,0,0,0,4.93211e+10
