I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
20,10,1,206170,1209,273874,206170,214274,1209,0,273874,-544160,0.147543,2.01E+07,3.60E+12
20,10,2,213744,967,259193,213744,221380,967,0,259193,-505196,0.24077,2.62E+07,3.60E+12
20,10,3,206771,1087,215467,206771,208104,1087,0,215467,-258544,0.0671066,3.12E+07,3.61E+12
20,10,4,197797,822,219991,197797,230148,822,0,219991,-340713,0.162313,3.57E+07,3.60E+12
20,10,5,227235,645,240780,227235,251147,645,0,240780,-320198,0.177079,3.08E+07,3.60E+12
40,10,1,418998,2391,464427,418998,439270,2391,0,464427,-659923,0.0818538,1.98E+07,3.60E+12
40,10,2,308739,2047,433606,308739,329798,2047,0,433606,-1.02E+06,0.148747,4.67E+07,3.60E+12
40,10,3,336306,1085,341731,337721,403455,802,0,341731,422788,0,5.42E+07,8.14E+11
40,10,4,392059,1642,457739,392059,431846,1642,0,457739,-808545,0.221385,5.42E+07,3.60E+12
40,10,5,367146,2149,502533,367146,373679,2149,0,502533,-1.13E+06,0.178602,4.05E+07,3.60E+12
60,10,1,648030,4457,861966,648053,651072,4457,0,861966,-1.66E+06,0.119042,5.34E+07,3.60E+12
60,10,2,534812,3065,593047,534812,537596,3065,0,593047,-877565,0.0937697,4.80E+07,3.60E+12
60,10,3,539072,3415,624447,539072,578047,3415,0,624447,-1.06E+06,0.0812254,2.72E+07,3.60E+12
60,10,4,498400,2537,528844,498400,589626,2537,0,528844,-739339,0.0866977,5.17E+07,3.60E+12
60,10,5,647346,3214,656988,647346,675922,3214,0,656988,-724545,0.0273551,6.19E+07,3.60E+12
80,10,1,748298,2052,863210,748298,865000,2052,0,863210,-1.42E+06,0.367341,5.59E+07,3.60E+12
80,10,2,714434,5470,730844,720308,782797,4717,0,734459,-850246,0.0219748,1.33E+08,3.60E+12
80,10,3,801968,4407,1.02E+06,801968,807799,4407,0,1.02E+06,-1.96E+06,0.156022,6.18E+07,3.60E+12
80,10,4,781274,4224,950234,781274,841955,4224,0,950234,-1.70E+06,0.168478,6.48E+07,3.60E+12
80,10,5,823822,3969,887326,823822,849453,3969,0,887326,-1.24E+06,0.0857789,7.66E+07,3.60E+12
100,10,1,1.09E+06,4624,1.10E+06,1.09E+06,1.12E+06,4419,0,1.10E+06,-1.17E+06,0.0262266,1.12E+08,3.60E+12
100,10,2,1.07E+06,4128,1.25E+06,1.07E+06,1.12E+06,4128,0,1.25E+06,-2.23E+06,0.231261,9.75E+07,3.60E+12
100,10,3,915076,5062,1.18E+06,915076,1.03E+06,5062,0,1.18E+06,-2.23E+06,0.275892,8.52E+07,3.60E+12
100,10,4,872723,4173,918626,872723,950123,4173,0,918626,-1.20E+06,0.094598,8.89E+07,3.60E+12
100,10,5,924087,5505,1.14E+06,924087,1.03E+06,5505,0,1.14E+06,-2.12E+06,0.163095,9.10E+07,3.60E+12
