I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
40,10,1,0,0,0,418780,0,0,0,0,704981,0.0254858,0,0
40,10,2,0,0,0,308177,0,0,0,0,1.11526e+06,0.0570476,0,0
40,10,3,0,0,0,334938,0,0,0,0,471127,0,0,0
40,10,4,0,0,0,391274,0,0,0,0,1.04406e+06,0.0396284,0,0
40,10,5,0,0,0,367146,0,0,0,0,1.29442e+06,0.0496924,0,0
60,10,1,0,0,0,648000,0,0,0,0,1.80158e+06,0.0341566,0,0
60,10,2,0,0,0,534812,0,0,0,0,936862,0.0251478,0,0
60,10,3,0,0,0,538786,0,0,0,0,1.11361e+06,0.0374475,0,0
60,10,4,0,0,0,494710,0,0,0,0,834403,0.017434,0,0
60,10,5,0,0,0,646853,0,0,0,0,745604,0.00679447,0,0
80,10,1,0,0,0,742296,0,0,0,0,2.46376e+06,0.0378615,0,0
80,10,2,0,0,0,714066,0,0,0,0,875806,0.00570903,0,0
80,10,3,0,0,0,801968,0,0,0,0,2.21731e+06,0.0500318,0,0
80,10,4,0,0,0,779585,0,0,0,0,2.01209e+06,0.0426104,0,0
80,10,5,0,0,0,823739,0,0,0,0,1.33046e+06,0.0229935,0,0
100,10,1,0,0,0,1.08962e+06,0,0,0,0,1.20194e+06,0.00395195,0,0
100,10,2,0,0,0,1.07213e+06,0,0,0,0,2.77152e+06,0.0410468,0,0
100,10,3,0,0,0,911151,0,0,0,0,2.93502e+06,0.0457412,0,0
100,10,4,0,0,0,870611,0,0,0,0,1.30632e+06,0.0198955,0,0
100,10,5,0,0,0,921769,0,0,0,0,2.50092e+06,0.0368195,0,0
20,12,1,0,0,0,182684,0,0,0,0,532980,0.0194555,0,0
20,12,2,0,0,0,253124,0,0,0,0,384795,0.0124521,0,0
20,12,3,0,0,0,211166,0,0,0,0,469767,0.0257489,0,0
20,12,4,0,0,0,241242,0,0,0,0,844208,0.041119,0,0
20,12,5,0,0,0,200304,0,0,0,0,238540,0,0,0
